journal,year,title,authors,abstract,url
AEJ: Applied Economics,2020,War of the Waves: Radio and Resistance during World War II,"Stefano Gagliarducci, Massimiliano Onorato, Francesco Sobbrio and Guido Tabellini","We analyze the role of the media in coordinating and mobilizing insurgency against an authoritarian regime, in the context of the Nazi-fascist occupation of Italy during WWII. We study the effect of BBC radio on the intensity of internal resistance. By exploiting variations in monthly sunspot activity that affect the sky-wave propagation of BBC broadcasting toward Italy, we show that BBC radio had a strong impact on political violence. We provide further evidence to document that BBC radio played an important role in coordinating resistance activities but had no lasting role in motivating the population against the Nazi-fascist regime.",https://www.aeaweb.org/doi/10.1257/app.20190410
AEJ: Applied Economics,2020,"E-governance, Accountability, and Leakage in Public Programs: Experimental Evidence from a Financial Management Reform in India","Abhijit Banerjee, Esther Duflo, Clément Imbert, Santhosh Mathew and Rohini Pande","Can e-governance reforms improve government policy? By making information available on a real-time basis, information technologies may reduce the theft of public funds. We analyze a large field experiment and the nationwide scale-up of a reform to India's workfare program. Advance payments were replaced by ""just-in-time"" payments, triggered by e-invoicing, making it easier to detect misreporting. Leakages went down: program expenditures dropped by 24 percent, while employment slightly increased; there were fewer fake households in the official database; and program officials' personal wealth fell by 10 percent. However, payment delays increased. The nationwide scale-up resulted in a persistent 19 percent reduction in program expenditure.",https://www.aeaweb.org/doi/10.1257/app.20180302
AEJ: Applied Economics,2020,The Not-So-Hot Melting Pot: The Persistence of Outcomes for Descendants of the Age of Mass Migration,Zachary Ward,"How persistent are economic gaps across ethnicities? The convergence of ethnic gaps through the third generation of immigrants is difficult to measure because few datasets include grandparental birthplace. I overcome this limitation with a new three-generational dataset that links immigrant grandfathers in 1880 to their grandsons in 1940. I find that the persistence of ethnic gaps in occupational income is 2.5 times stronger than predicted by a standard grandfather-grandson elasticity. While part of the discrepancy is due to measurement error attenuating the grandfather-grandson elasticity, mechanisms related to geography also partially explain the stronger persistence of ethnic occupational differentials.",https://www.aeaweb.org/doi/10.1257/app.20170382
AEJ: Applied Economics,2020,The Elasticity of Science,Kyle Myers,"This paper identifies the degree to which scientists are willing to change the direction of their work in exchange for resources. Data from the National Institutes of Health are used to estimate how scientists respond to targeted funding opportunities. Inducing a scientist to change their direction by a small amount—to work on marginally different topics—requires a substantial amount of funding in expectation. The switching costs of science are large. The productivity of grants is also estimated, and it appears the additional costs of targeted research may be more than offset by more productive scientists pursuing these grants.",https://www.aeaweb.org/doi/10.1257/app.20180518
AEJ: Applied Economics,2020,Increasing Access to Selective High Schools through Place-Based Affirmative Action: Unintended Consequences,"Lisa Barrow, Lauren Sartain and Marisa  de la Torre","We investigate whether elite Chicago public high schools differentially benefit high-achieving students from more and less affluent neighborhoods. Chicago's place-based affirmative action policy allocates seats based on achievement and neighborhood socioeconomic status (SES). Using regression discontinuity design (RDD), we find that these schools do not raise test scores overall, but students are generally more positive about their high school experiences. For students from low-SES neighborhoods, we estimate negative effects on grades and the probability of attending a selective college. We present suggestive evidence that these findings for students from low-SES neighborhoods are driven by the negative effect of relative achievement ranking.",https://www.aeaweb.org/doi/10.1257/app.20170599
AEJ: Applied Economics,2020,Rules for Recovery: Impact of Indexed Disaster Funds on Shock Coping in Mexico,"Alejandro del Valle, Alain de Janvry and Elisabeth Sadoulet","Government provision of disaster transfers is typically hampered by liquidity constraints and by weak rules and administrative capacity to disburse reconstruction resources. We show that by easing these hurdles, Mexico's indexed disaster fund (Fonden) considerably accelerates economic recovery after a disaster. To estimate Fonden impact on recovery, as measured by night lights, we exploit the heavy rainfall index that determines program eligibility. We find that for one year after a disaster, eligible municipalities are 6 percent brighter than those ineligible, with gains likely concentrated among less resilient municipalities. We additionally document how Fonden rules shield resources from political abuse.",https://www.aeaweb.org/doi/10.1257/app.20190002
AEJ: Applied Economics,2020,Healthcare Demand under Simple Prices: Evidence from Tiered Hospital Networks,Elena Prager,"This paper shows that consumers respond to prices for complex healthcare when they can easily assess out-of-pocket prices. Healthcare cost containment efforts increasingly incentivize price shopping despite a dearth of evidence that this steers consumers toward lower-priced care for major medical services. I show that consumers shift toward lower-priced hospitals in the highly simplified price information environment of insurance plans with tiered hospital networks. Consumers observe a single predictable, well-defined price that applies to a broad range of services within each of at most three hospital tiers. Within three years, expected partial-equilibrium savings reach 8–17 percent of baseline spending.",https://www.aeaweb.org/doi/10.1257/app.20180422
AEJ: Applied Economics,2020,Partisan Shocks and Financial Markets: Evidence from Close National Elections,Daniele Girardi,"This paper estimates the effect of partisan electoral victories on stock and bond markets. We employ a regression-discontinuity-based event study in a sample of 758 worldwide post-1945 national elections, using existing data on parliamentary elections and newly collected data on presidential elections. Left-wing electoral victories cause significant and substantial short-term decreases in stock market valuations, while the response of sovereign bond markets is mostly muted. Stock market effects are stronger and more persistent in elections in which the left's proposed economic policy is more radical and in developing economies.",https://www.aeaweb.org/doi/10.1257/app.20190292
AEJ: Applied Economics,2020,"Job Displacement, Family Dynamics, and Spousal Labor Supply","Martin Halla, Julia Schmieder and Andrea Weber","We study the effectiveness of intrahousehold insurance among married couples when the husband loses his job due to a mass layoff or plant closure. Empirical results based on Austrian administrative data show that husbands suffer persistent employment and earnings losses, while wives' labor supply increases moderately due to extensive margin responses. Wives' earnings gains recover only a tiny fraction of the household income loss, and in the short-term, public transfers and taxes are a more important form of insurance. We show that the presence of children in the household is a crucial determinant of the wives' labor supply response.",https://www.aeaweb.org/doi/10.1257/app.20180671
AEJ: Applied Economics,2020,The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare,"Colleen M. Carey, Sarah Miller and Laura Wherry","Some states have not adopted the Affordable Care Act (ACA) Medicaid expansions due to concerns that the expansions may impair access to care and utilization for those who are already insured. We investigate such negative spillovers using a large panel of Medicare beneficiaries. Across many subgroups and outcomes, we find no evidence that the expansions reduced utilization among Medicare beneficiaries and can rule out all but very small changes in utilization or spending. These results indicate that the expansions in Medicaid did not impair access to care or utilization for the Medicare population.",https://www.aeaweb.org/doi/10.1257/app.20190176
